benchmark,section,cohort_model_path,cell,model,primitive,budget_tokens,depth,runs_scanned,runs_with_query_errors,runs_with_summary_marker_errors,query_error_events,summary_marker_errors,rerun_priority_runs,rerun_probable_runs,rerun_recommended_runs,summary_marker_error_runs,summary_failure_accounting_runs,summary_related_response_runs,unresolved_runs
swebench,ablation,devstral24b,d03__b17k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,17000,0.3,90,22,3,246,219,3,0,3,3,0,0,19
swebench,ablation,devstral24b,d03__b17k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,17000,0.3,90,58,51,978,932,51,0,51,51,0,0,7
swebench,ablation,devstral24b,d03__b17k__su-full,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization,17000,0.3,90,19,0,34,0,1,0,1,0,1,0,18
swebench,ablation,devstral24b,d03__b17k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,17000,0.3,90,74,0,1180,0,67,3,70,0,67,3,4
swebench,ablation,devstral24b,d03__b21k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,21000,0.3,90,19,1,61,37,1,0,1,1,0,0,18
swebench,ablation,devstral24b,d03__b21k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,21000,0.3,90,72,62,1130,1087,62,0,62,62,0,0,10
swebench,ablation,devstral24b,d03__b21k__su-full,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization,21000,0.3,90,27,0,165,0,3,1,4,0,3,1,23
swebench,ablation,devstral24b,d03__b21k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,21000,0.3,90,77,0,1411,0,68,0,68,0,68,0,9
swebench,ablation,devstral24b,d03__b24k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,24000,0.3,90,29,2,272,220,2,0,2,2,0,0,27
swebench,ablation,devstral24b,d03__b24k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,24000,0.3,90,78,54,1143,1080,54,0,54,54,0,0,24
swebench,ablation,devstral24b,d03__b24k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,24000,0.3,90,78,0,1284,0,61,2,63,0,61,2,15
swebench,ablation,devstral24b,d05__b17k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,17000,0.5,90,22,3,311,272,3,0,3,3,0,0,19
swebench,ablation,devstral24b,d05__b17k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,17000,0.5,90,73,65,1571,1514,65,0,65,65,0,0,8
swebench,ablation,devstral24b,d05__b17k__su-full,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization,17000,0.5,90,23,1,59,1,2,0,2,1,1,0,21
swebench,ablation,devstral24b,d05__b17k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,17000,0.5,90,82,0,2250,0,75,3,78,0,75,3,4
swebench,ablation,devstral24b,d05__b24k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,24000,0.5,90,28,1,114,67,1,0,1,1,0,0,27
swebench,ablation,devstral24b,d05__b24k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,24000,0.5,90,72,57,1508,1459,57,0,57,57,0,0,15
swebench,ablation,devstral24b,d05__b24k__su-full,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization,24000,0.5,90,35,0,57,0,1,0,1,0,1,0,34
swebench,ablation,devstral24b,d05__b24k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,24000,0.5,90,79,0,1674,0,62,1,63,0,62,1,16
swebench,ablation,devstral24b,d07__b17k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,17000,0.7,90,18,1,36,3,1,0,1,1,0,0,17
swebench,ablation,devstral24b,d07__b17k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,17000,0.7,90,73,69,2383,2346,69,0,69,69,0,0,4
swebench,ablation,devstral24b,d07__b17k__su-full,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization,17000,0.7,90,33,0,246,0,6,0,6,0,6,0,27
swebench,ablation,devstral24b,d07__b17k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,17000,0.7,90,85,0,2978,0,76,3,79,0,76,3,6
swebench,ablation,devstral24b,d07__b21k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,21000,0.7,90,27,3,174,116,3,0,3,3,0,0,24
swebench,ablation,devstral24b,d07__b21k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,21000,0.7,90,70,55,1837,1777,55,0,55,55,0,0,15
swebench,ablation,devstral24b,d07__b21k__su-full,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization,21000,0.7,90,32,0,136,0,1,1,2,0,1,1,30
swebench,ablation,devstral24b,d07__b21k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,21000,0.7,90,78,0,2310,0,67,0,67,0,67,0,11
swebench,ablation,devstral24b,d07__b24k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,24000,0.7,90,30,2,201,146,2,0,2,2,0,0,28
swebench,ablation,devstral24b,d07__b24k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,24000,0.7,90,70,51,1483,1414,51,0,51,51,0,0,19
swebench,ablation,devstral24b,d07__b24k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,24000,0.7,90,73,0,1632,0,55,0,55,0,55,0,18
swebench,ablation,devstral24b,di__b17k__otrc-ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,online_trc_structured_summarize_partial,17000,0.5,90,63,18,1128,647,18,0,18,18,0,0,45
swebench,ablation,devstral24b,di__b17k__otrc-su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,online_trc_summarize_partial,17000,0.5,90,72,0,944,0,19,1,20,0,19,1,52
swebench,ablation,devstral24b,di__b17k__trc-ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,trc_structured_summarize,17000,0.5,90,46,2,77,3,2,0,2,2,0,0,44
swebench,ablation,devstral24b,di__b17k__trc-su,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,trc_summarize,17000,0.5,90,45,0,101,0,2,0,2,0,2,0,43
swebench,ablation,devstral24b,di__b24k__otrc-ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,online_trc_structured_summarize_partial,24000,0.5,90,67,10,633,327,10,0,10,10,0,0,57
swebench,ablation,devstral24b,di__b24k__otrc-su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,online_trc_summarize_partial,24000,0.5,90,65,0,559,0,7,0,7,0,7,0,58
swebench,ablation,qwen35b,d03__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.3,90,58,46,1817,1774,46,2,48,46,0,2,10
swebench,ablation,qwen35b,d03__b10k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,10000,0.3,90,76,65,2041,1877,69,0,69,65,4,0,7
swebench,ablation,qwen35b,d03__b10k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,10000,0.3,90,45,0,785,0,31,4,35,0,31,4,10
swebench,ablation,qwen35b,d03__b10k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,10000,0.3,90,69,0,1104,0,50,5,55,0,50,5,14
swebench,ablation,qwen35b,d03__b15k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,15000,0.3,90,42,19,428,355,19,0,19,19,0,0,23
swebench,ablation,qwen35b,d03__b15k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,15000,0.3,90,61,40,492,385,50,0,50,40,10,0,11
swebench,ablation,qwen35b,d03__b15k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,15000,0.3,90,43,0,215,0,13,3,16,0,13,3,27
swebench,ablation,qwen35b,d03__b15k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,15000,0.3,90,63,0,275,0,27,6,33,0,27,6,30
swebench,ablation,qwen35b,d03__b20k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,20000,0.3,90,44,9,204,137,9,0,9,9,0,0,35
swebench,ablation,qwen35b,d03__b20k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,20000,0.3,90,61,27,242,128,31,0,31,27,4,0,30
swebench,ablation,qwen35b,d03__b20k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,20000,0.3,90,40,0,106,0,4,4,8,0,4,4,32
swebench,ablation,qwen35b,d03__b20k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,20000,0.3,90,53,0,181,0,28,4,32,0,28,4,21
swebench,ablation,qwen35b,d07__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.7,90,56,41,1341,1285,41,0,41,41,0,0,15
swebench,ablation,qwen35b,d07__b10k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,10000,0.7,90,81,68,1131,1011,71,0,71,68,3,0,10
swebench,ablation,qwen35b,d07__b10k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,10000,0.7,90,49,1,477,1,24,9,33,1,23,9,16
swebench,ablation,qwen35b,d07__b10k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,10000,0.7,90,70,1,619,1,54,5,59,1,53,5,11
swebench,ablation,qwen35b,d07__b15k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,15000,0.7,90,39,20,397,345,20,1,21,20,0,1,18
swebench,ablation,qwen35b,d07__b15k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,15000,0.7,90,67,46,498,384,53,0,53,46,7,0,14
swebench,ablation,qwen35b,d07__b15k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,15000,0.7,90,41,1,145,1,9,4,13,1,8,4,28
swebench,ablation,qwen35b,d07__b15k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,15000,0.7,90,65,0,322,0,41,3,44,0,41,3,21
swebench,ablation,qwen35b,d07__b20k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,20000,0.7,90,39,14,251,184,14,0,14,14,0,0,25
swebench,ablation,qwen35b,d07__b20k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,20000,0.7,90,70,32,262,128,38,0,38,32,6,0,32
swebench,ablation,qwen35b,d07__b20k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,20000,0.7,90,43,0,124,0,1,2,3,0,1,2,40
swebench,ablation,qwen35b,d07__b20k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,20000,0.7,90,55,0,207,0,24,0,24,0,24,0,31
swebench,main,devstral24b,d05__b21k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,21000,0.5,300,74,10,502,266,10,0,10,10,0,0,64
swebench,main,devstral24b,d05__b21k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,21000,0.5,300,234,210,5826,5660,210,0,210,210,0,0,24
swebench,main,devstral24b,d05__b21k__su-full,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization,21000,0.5,300,93,0,225,0,6,0,6,0,6,0,87
swebench,main,devstral24b,d05__b21k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,21000,0.5,300,267,0,6402,0,231,5,236,0,231,5,31
