benchmark	section	cohort_model_path	cell	key	task	condition	run	primitive	budget_tokens	depth	rerun_reason	rerun_priority	summary_marker_errors	exit_status	resolved	started_at_CDT	source_run_dir	source_trial_dir	harbor_job
terminalbench	main	devstral24b	d05__b4k__ss	blind-maze-explorer-5x5__structured-summarize__r1	blind-maze-explorer-5x5	structured-summarize	1	structured_summarize	4000	0.5	tb_unverifiable	probable	0		False	2026-09-04T10:46:44.363168-05:00	ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss/blind-maze-explorer-5x5/structured-summarize/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-structured-summarize-r1-1788532263216/blind-maze-explorer-5x5__Kf5foaf	devstral24b-structured-summarize-r1-1788532263216
terminalbench	main	devstral24b	d05__b4k__ss	swe-bench-astropy-2__structured-summarize__r1	swe-bench-astropy-2	structured-summarize	1	structured_summarize	4000	0.5	tb_unverifiable	probable	0		False	2026-09-04T10:28:04.823068-05:00	ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss/swe-bench-astropy-2/structured-summarize/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-structured-summarize-r1-1788532263216/swe-bench-astropy-2__L3oT2Nz	devstral24b-structured-summarize-r1-1788532263216
terminalbench	main	devstral24b	d05__b4k__ss	eval-mteb.hard__structured-summarize__r2	eval-mteb.hard	structured-summarize	2	structured_summarize	4000	0.5	tb_unverifiable	probable	0		False	2026-09-04T14:17:49.026482-05:00	ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss/eval-mteb.hard/structured-summarize/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-structured-summarize-r2-1788545237079/eval-mteb.hard__QnZFrja	devstral24b-structured-summarize-r2-1788545237079
terminalbench	main	devstral24b	d05__b4k__ss	gpt2-codegolf__structured-summarize__r2	gpt2-codegolf	structured-summarize	2	structured_summarize	4000	0.5	tb_unverifiable	probable	0		False	2026-09-04T13:21:43.582958-05:00	ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss/gpt2-codegolf/structured-summarize/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-structured-summarize-r2-1788545237079/gpt2-codegolf__qSmReYc	devstral24b-structured-summarize-r2-1788545237079
terminalbench	main	devstral24b	d05__b4k__ss	raman-fitting.easy__structured-summarize__r2	raman-fitting.easy	structured-summarize	2	structured_summarize	4000	0.5	tb_unverifiable	probable	0		False	2026-09-04T13:07:18.586814-05:00	ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss/raman-fitting.easy/structured-summarize/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-structured-summarize-r2-1788545237079/raman-fitting.easy__PHwY4iB	devstral24b-structured-summarize-r2-1788545237079
terminalbench	main	devstral24b	d05__b4k__ss	prove-plus-comm__structured-summarize__r3	prove-plus-comm	structured-summarize	3	structured_summarize	4000	0.5	tb_unverifiable	probable	0		False	2026-09-04T15:05:28.569349-05:00	ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss/prove-plus-comm/structured-summarize/run_3	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-structured-summarize-r3-1788552326976/prove-plus-comm__ot8zZLn	devstral24b-structured-summarize-r3-1788552326976
terminalbench	main	devstral24b	d05__b4k__ss	pytorch-model-cli.hard__structured-summarize__r3	pytorch-model-cli.hard	structured-summarize	3	structured_summarize	4000	0.5	tb_unverifiable	probable	0		False	2026-09-04T15:11:58.155932-05:00	ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss/pytorch-model-cli.hard/structured-summarize/run_3	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-structured-summarize-r3-1788552326976/pytorch-model-cli.hard__wUABBbR	devstral24b-structured-summarize-r3-1788552326976
terminalbench	main	devstral24b	d05__b4k__ss	swe-bench-astropy-2__structured-summarize__r3	swe-bench-astropy-2	structured-summarize	3	structured_summarize	4000	0.5	tb_unverifiable	probable	0		False	2026-09-04T16:04:50.807420-05:00	ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss/swe-bench-astropy-2/structured-summarize/run_3	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-structured-summarize-r3-1788552326976/swe-bench-astropy-2__n4xKr7u	devstral24b-structured-summarize-r3-1788552326976
terminalbench	main	devstral24b	d05__b4k__ss-partial	gpt2-codegolf__structured-summarize-partial__r1	gpt2-codegolf	structured-summarize-partial	1	structured_summarize_partial	4000	0.5	tb_unverifiable	probable	0		False	2026-09-04T17:15:58.796867-05:00	ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss-partial/gpt2-codegolf/structured-summarize-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-structured-summarize-partial-r1-1788559467420/gpt2-codegolf__ETG8DbC	devstral24b-structured-summarize-partial-r1-1788559467420
terminalbench	main	devstral24b	d05__b4k__ss-partial	heterogeneous-dates__structured-summarize-partial__r1	heterogeneous-dates	structured-summarize-partial	1	structured_summarize_partial	4000	0.5	tb_unverifiable	probable	0		False	2026-09-04T18:22:29.262591-05:00	ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss-partial/heterogeneous-dates/structured-summarize-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-structured-summarize-partial-r1-1788559467420/heterogeneous-dates__nskvpZC	devstral24b-structured-summarize-partial-r1-1788559467420
