benchmark,section,cohort_model_path,cell,model,primitive,budget_tokens,depth,task,condition,run,rerun_priority,rerun_reason,summary_marker_errors,summary_failure_lower_bound,trajectory,error_response_details,seed_source_section,seed_source_trajectory,seed_archive
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,django__django-11066,structured-summarize,run_3,priority,agentlog_summary_failure,0,1,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/django__django-11066/structured-summarize/run_3/trajectory.json,details/06871.txt,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/django__django-11066/structured-summarize/run_3/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,django__django-11292,structured-summarize,run_2,priority,agentlog_summary_failure,0,32,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/django__django-11292/structured-summarize/run_2/trajectory.json,details/06878.txt,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/django__django-11292/structured-summarize/run_2/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,django__django-13012,structured-summarize,run_3,priority,agentlog_summary_failure,0,44,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/django__django-13012/structured-summarize/run_3/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/django__django-13012/structured-summarize/run_3/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,django__django-14580,structured-summarize,run_2,priority,agentlog_summary_failure,0,1,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/django__django-14580/structured-summarize/run_2/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/django__django-14580/structured-summarize/run_2/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,django__django-14915,structured-summarize,run_2,priority,agentlog_summary_failure,0,7,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/django__django-14915/structured-summarize/run_2/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/django__django-14915/structured-summarize/run_2/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,django__django-17087,structured-summarize,run_1,priority,agentlog_summary_failure,0,1,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/django__django-17087/structured-summarize/run_1/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/django__django-17087/structured-summarize/run_1/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,django__django-17087,structured-summarize,run_3,priority,agentlog_summary_failure,0,1,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/django__django-17087/structured-summarize/run_3/trajectory.json,details/06950.txt,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/django__django-17087/structured-summarize/run_3/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,scikit-learn__scikit-learn-10908,structured-summarize,run_2,priority,agentlog_summary_failure,0,2,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/scikit-learn__scikit-learn-10908/structured-summarize/run_2/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/scikit-learn__scikit-learn-10908/structured-summarize/run_2/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,scikit-learn__scikit-learn-11578,structured-summarize,run_1,priority,agentlog_summary_failure,0,9,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/scikit-learn__scikit-learn-11578/structured-summarize/run_1/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/scikit-learn__scikit-learn-11578/structured-summarize/run_1/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,scikit-learn__scikit-learn-11578,structured-summarize,run_2,priority,agentlog_summary_failure,0,2,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/scikit-learn__scikit-learn-11578/structured-summarize/run_2/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/scikit-learn__scikit-learn-11578/structured-summarize/run_2/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
