benchmark,section,cohort_model_path,cell,model,primitive,budget_tokens,depth,task,condition,run,rerun_priority,rerun_reason,summary_marker_errors,summary_failure_lower_bound,trajectory,error_response_details
terminalbench,ablation,qwen35b,d05__b2k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,2000,0.5,sanitize-git-repo.hard,structured-summarize-partial,run_2,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss-partial/sanitize-git-repo.hard/structured-summarize-partial/run_2/trajectory.json,
terminalbench,ablation,qwen35b,d05__b2k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,2000,0.5,crack-7z-hash.hard,structured-summarize,run_2,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/crack-7z-hash.hard/structured-summarize/run_2/trajectory.json,
terminalbench,ablation,qwen35b,d05__b2k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,2000,0.5,crack-7z-hash.hard,structured-summarize,run_3,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/crack-7z-hash.hard/structured-summarize/run_3/trajectory.json,
terminalbench,ablation,qwen35b,d05__b2k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,2000,0.5,csv-to-parquet,structured-summarize,run_2,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/csv-to-parquet/structured-summarize/run_2/trajectory.json,
terminalbench,ablation,qwen35b,d05__b2k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,2000,0.5,download-youtube,structured-summarize,run_1,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/download-youtube/structured-summarize/run_1/trajectory.json,
terminalbench,ablation,qwen35b,d05__b2k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,2000,0.5,gpt2-codegolf,structured-summarize,run_1,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/gpt2-codegolf/structured-summarize/run_1/trajectory.json,
terminalbench,ablation,qwen35b,d05__b2k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,2000,0.5,gpt2-codegolf,structured-summarize,run_2,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/gpt2-codegolf/structured-summarize/run_2/trajectory.json,
terminalbench,ablation,qwen35b,d05__b2k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,2000,0.5,heterogeneous-dates,structured-summarize,run_1,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/heterogeneous-dates/structured-summarize/run_1/trajectory.json,
terminalbench,ablation,qwen35b,d05__b2k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,2000,0.5,processing-pipeline,structured-summarize,run_2,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/processing-pipeline/structured-summarize/run_2/trajectory.json,
terminalbench,ablation,qwen35b,d05__b2k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,2000,0.5,prove-plus-comm,structured-summarize,run_1,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/prove-plus-comm/structured-summarize/run_1/trajectory.json,
