benchmark	section	cohort_model_path	cell	key	task	condition	run	primitive	budget_tokens	depth	rerun_reason	rerun_priority	summary_marker_errors	exit_status	resolved	started_at_CDT	source_run_dir	source_trial_dir	harbor_job
terminalbench	ablation	qwen35b	d05__b2k__ss	download-youtube__structured-summarize__r1	download-youtube	structured-summarize	1	structured_summarize	2000	0.5	tb_erasure_possible	probable	0		False	2026-09-03T21:14:29.232311-05:00	ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/download-youtube/structured-summarize/run_1	logs/harbor_jobs/terminalbench/qwen35b/qwen35b-structured-summarize-r1-1788487063571/download-youtube__XRuP6io	qwen35b-structured-summarize-r1-1788487063571
terminalbench	ablation	qwen35b	d05__b2k__ss	gpt2-codegolf__structured-summarize__r1	gpt2-codegolf	structured-summarize	1	structured_summarize	2000	0.5	tb_erasure_possible	probable	0		False	2026-09-03T20:59:31.076693-05:00	ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/gpt2-codegolf/structured-summarize/run_1	logs/harbor_jobs/terminalbench/qwen35b/qwen35b-structured-summarize-r1-1788487063571/gpt2-codegolf__pzem36E	qwen35b-structured-summarize-r1-1788487063571
terminalbench	ablation	qwen35b	d05__b2k__ss	heterogeneous-dates__structured-summarize__r1	heterogeneous-dates	structured-summarize	1	structured_summarize	2000	0.5	tb_erasure_possible	probable	0	Submitted	True	2026-09-03T21:20:51.408058-05:00	ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/heterogeneous-dates/structured-summarize/run_1	logs/harbor_jobs/terminalbench/qwen35b/qwen35b-structured-summarize-r1-1788487063571/heterogeneous-dates__qp4rAKL	qwen35b-structured-summarize-r1-1788487063571
terminalbench	ablation	qwen35b	d05__b2k__ss	prove-plus-comm__structured-summarize__r1	prove-plus-comm	structured-summarize	1	structured_summarize	2000	0.5	tb_erasure_possible	probable	0	Submitted	True	2026-09-03T20:57:44.961791-05:00	ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/prove-plus-comm/structured-summarize/run_1	logs/harbor_jobs/terminalbench/qwen35b/qwen35b-structured-summarize-r1-1788487063571/prove-plus-comm__x5SDVeK	qwen35b-structured-summarize-r1-1788487063571
terminalbench	ablation	qwen35b	d05__b2k__ss	crack-7z-hash.hard__structured-summarize__r2	crack-7z-hash.hard	structured-summarize	2	structured_summarize	2000	0.5	tb_unverifiable	probable	0		False	2026-09-03T22:04:43.232390-05:00	ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/crack-7z-hash.hard/structured-summarize/run_2	logs/harbor_jobs/terminalbench/qwen35b/qwen35b-structured-summarize-r2-1788490250323/crack-7z-hash.hard__WApsM69	qwen35b-structured-summarize-r2-1788490250323
terminalbench	ablation	qwen35b	d05__b2k__ss	csv-to-parquet__structured-summarize__r2	csv-to-parquet	structured-summarize	2	structured_summarize	2000	0.5	tb_unverifiable	probable	0		False	2026-09-03T21:58:19.100128-05:00	ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/csv-to-parquet/structured-summarize/run_2	logs/harbor_jobs/terminalbench/qwen35b/qwen35b-structured-summarize-r2-1788490250323/csv-to-parquet__cRSypbL	qwen35b-structured-summarize-r2-1788490250323
terminalbench	ablation	qwen35b	d05__b2k__ss	gpt2-codegolf__structured-summarize__r2	gpt2-codegolf	structured-summarize	2	structured_summarize	2000	0.5	tb_erasure_possible	probable	0		False	2026-09-03T21:57:19.271375-05:00	ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/gpt2-codegolf/structured-summarize/run_2	logs/harbor_jobs/terminalbench/qwen35b/qwen35b-structured-summarize-r2-1788490250323/gpt2-codegolf__tcoqts3	qwen35b-structured-summarize-r2-1788490250323
terminalbench	ablation	qwen35b	d05__b2k__ss	processing-pipeline__structured-summarize__r2	processing-pipeline	structured-summarize	2	structured_summarize	2000	0.5	tb_erasure_possible	probable	0	Submitted	True	2026-09-03T22:03:43.360949-05:00	ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/processing-pipeline/structured-summarize/run_2	logs/harbor_jobs/terminalbench/qwen35b/qwen35b-structured-summarize-r2-1788490250323/processing-pipeline__Nz6yvez	qwen35b-structured-summarize-r2-1788490250323
terminalbench	ablation	qwen35b	d05__b2k__ss	prove-plus-comm__structured-summarize__r2	prove-plus-comm	structured-summarize	2	structured_summarize	2000	0.5	tb_unverifiable	probable	0		False	2026-09-03T21:50:51.700506-05:00	ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/prove-plus-comm/structured-summarize/run_2	logs/harbor_jobs/terminalbench/qwen35b/qwen35b-structured-summarize-r2-1788490250323/prove-plus-comm__GZgUTwP	qwen35b-structured-summarize-r2-1788490250323
terminalbench	ablation	qwen35b	d05__b2k__ss	write-compressor__structured-summarize__r2	write-compressor	structured-summarize	2	structured_summarize	2000	0.5	tb_unverifiable	probable	0		False	2026-09-03T22:03:44.069197-05:00	ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/write-compressor/structured-summarize/run_2	logs/harbor_jobs/terminalbench/qwen35b/qwen35b-structured-summarize-r2-1788490250323/write-compressor__BFWQHBN	qwen35b-structured-summarize-r2-1788490250323
