cell,key,task,run_num,action,timestamp,resolved,reason,result_file,already_reevaluated_20260911,model_tag
d05__b10k__ss,django__django-12304__structured-summarize__r3,django__django-12304,3,evaluate_only,2026-08-24T02:15:18.722101,False,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b10k__ss/experiment_results.json,False,qwen35-a3b
d05__b10k__ss-partial,django__django-13809__structured-summarize-partial__r3,django__django-13809,3,evaluate_only,2026-08-24T02:29:23.538575,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b10k__ss-partial/experiment_results.json,False,qwen35-a3b
d05__b10k__su-full,scikit-learn__scikit-learn-14141__summarization__r3,scikit-learn__scikit-learn-14141,3,evaluate_only,2026-08-24T06:58:17.806555,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b10k__su-full/experiment_results.json,False,qwen35-a3b
d05__b10k__su-full,scikit-learn__scikit-learn-14496__summarization__r2,scikit-learn__scikit-learn-14496,2,evaluate_only,2026-04-20T22:48:37.903185,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b10k__su-full/experiment_results.json,True,qwen35-a3b
d05__b10k__su-full,sympy__sympy-15349__summarization__r3,sympy__sympy-15349,3,evaluate_only,2026-08-24T04:49:42.838924,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b10k__su-full/experiment_results.json,False,qwen35-a3b
d05__b10k__su-partial,sympy__sympy-16450__summarization-partial__r3,sympy__sympy-16450,3,evaluate_only,2026-08-24T05:02:40.473134,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b10k__su-partial/experiment_results.json,False,qwen35-a3b
d05__b10k__tr,django__django-12304__truncation__r3,django__django-12304,3,evaluate_only,2026-08-24T02:13:46.229575,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b10k__tr/experiment_results.json,False,qwen35-a3b
d05__b10k__tr,django__django-13809__truncation__r3,django__django-13809,3,evaluate_only,2026-08-24T02:28:38.204417,False,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b10k__tr/experiment_results.json,False,qwen35-a3b
d05__b10k__tr,scikit-learn__scikit-learn-13135__truncation__r3,scikit-learn__scikit-learn-13135,3,evaluate_only,2026-08-24T06:26:30.414841,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b10k__tr/experiment_results.json,False,qwen35-a3b
d05__b10k__tr,scikit-learn__scikit-learn-14141__truncation__r3,scikit-learn__scikit-learn-14141,3,evaluate_only,2026-08-24T06:56:54.300440,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b10k__tr/experiment_results.json,False,qwen35-a3b
d05__b10k__tr,scikit-learn__scikit-learn-14710__truncation__r1,scikit-learn__scikit-learn-14710,1,evaluate_only,2026-05-02T02:17:28.944184,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b10k__tr/experiment_results.json,True,qwen35-a3b
d05__b10k__tr,scikit-learn__scikit-learn-15100__truncation__r1,scikit-learn__scikit-learn-15100,1,evaluate_only,2026-04-20T22:51:27.062343,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b10k__tr/experiment_results.json,True,qwen35-a3b
d05__b10k__tr,sympy__sympy-13798__truncation__r3,sympy__sympy-13798,3,evaluate_only,2026-08-24T04:22:19.689658,False,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b10k__tr/experiment_results.json,False,qwen35-a3b
d05__b10k__tr,sympy__sympy-16450__truncation__r3,sympy__sympy-16450,3,evaluate_only,2026-08-24T04:57:24.948337,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b10k__tr/experiment_results.json,False,qwen35-a3b
d05__b10k__tr,sympy__sympy-17139__truncation__r3,sympy__sympy-17139,3,evaluate_only,2026-08-24T05:00:56.125407,False,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b10k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__ss,scikit-learn__scikit-learn-14141__structured-summarize__r2,scikit-learn__scikit-learn-14141,2,evaluate_only,2026-04-30T23:42:18.990924,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b15k__ss/experiment_results.json,True,qwen35-a3b
d05__b15k__ss,scikit-learn__scikit-learn-14496__structured-summarize__r2,scikit-learn__scikit-learn-14496,2,evaluate_only,2026-04-09T00:39:57.640995,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__ss/experiment_results.json,False,qwen35-a3b
d05__b15k__ss,scikit-learn__scikit-learn-14710__structured-summarize__r1,scikit-learn__scikit-learn-14710,1,evaluate_only,2026-05-01T00:02:28.376029,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b15k__ss/experiment_results.json,True,qwen35-a3b
d05__b15k__ss,scikit-learn__scikit-learn-14710__structured-summarize__r3,scikit-learn__scikit-learn-14710,3,evaluate_only,2026-08-23T22:55:50.907437,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b15k__ss/experiment_results.json,True,qwen35-a3b
d05__b15k__ss,scikit-learn__scikit-learn-14983__structured-summarize__r1,scikit-learn__scikit-learn-14983,1,evaluate_only,2026-05-01T00:18:48.862073,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b15k__ss/experiment_results.json,True,qwen35-a3b
d05__b15k__ss,scikit-learn__scikit-learn-15100__structured-summarize__r1,scikit-learn__scikit-learn-15100,1,evaluate_only,2026-04-09T01:05:48.922532,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__ss/experiment_results.json,False,qwen35-a3b
d05__b15k__ss,scikit-learn__scikit-learn-15100__structured-summarize__r2,scikit-learn__scikit-learn-15100,2,evaluate_only,2026-04-09T01:06:20.568648,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__ss/experiment_results.json,False,qwen35-a3b
d05__b15k__ss,sympy__sympy-15017__structured-summarize__r1,sympy__sympy-15017,1,evaluate_only,2026-04-08T22:08:25.588351,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__ss/experiment_results.json,False,qwen35-a3b
